@relation openSMILE_features

@attribute name string
@attribute frameTime numeric
@attribute voiceProb_sma numeric
@attribute F0_sma numeric
@attribute pcm_loudness_sma numeric
@attribute class numeric

@data

'unknown',0.000000,3.356643e-001,0.000000e+000,5.310429e-002,?
'unknown',0.010000,3.654192e-001,0.000000e+000,4.672802e-002,?
'unknown',0.020000,4.473207e-001,0.000000e+000,6.621627e-002,?
'unknown',0.030000,4.818130e-001,0.000000e+000,5.723942e-002,?
'unknown',0.040000,4.795653e-001,0.000000e+000,7.624012e-002,?
'unknown',0.050000,4.619702e-001,0.000000e+000,8.293035e-002,?
'unknown',0.060000,5.217640e-001,0.000000e+000,1.225322e-001,?
'unknown',0.070000,5.758839e-001,1.580645e+002,1.287487e-001,?
'unknown',0.080000,5.529987e-001,3.169881e+002,9.839480e-002,?
'unknown',0.090000,4.740281e-001,3.169881e+002,6.099943e-002,?
'unknown',0.100000,4.119446e-001,1.589236e+002,4.957299e-002,?
'unknown',0.110000,3.324579e-001,0.000000e+000,4.538853e-002,?
'unknown',0.120000,2.789555e-001,0.000000e+000,4.045616e-002,?
'unknown',0.130000,2.706441e-001,0.000000e+000,2.801587e-002,?
'unknown',0.140000,3.469126e-001,0.000000e+000,3.456712e-002,?
'unknown',0.150000,4.523935e-001,0.000000e+000,4.000218e-002,?
'unknown',0.160000,5.748459e-001,1.633333e+002,5.159950e-002,?
'unknown',0.170000,5.653999e-001,3.266667e+002,6.529017e-002,?
'unknown',0.180000,4.871816e-001,3.266667e+002,1.052314e-001,?
'unknown',0.190000,3.602605e-001,1.633333e+002,1.022691e-001,?
'unknown',0.200000,3.715409e-001,0.000000e+000,1.117744e-001,?
'unknown',0.210000,4.373403e-001,0.000000e+000,7.414477e-002,?
'unknown',0.220000,5.162104e-001,1.615385e+002,7.904592e-002,?
'unknown',0.230000,4.739958e-001,3.230769e+002,7.052779e-002,?
'unknown',0.240000,3.590160e-001,3.230769e+002,9.217937e-002,?
'unknown',0.250000,2.656512e-001,1.615385e+002,9.915116e-002,?
'unknown',0.260000,2.532222e-001,0.000000e+000,8.797697e-002,?
'unknown',0.270000,2.784744e-001,0.000000e+000,8.706415e-002,?
'unknown',0.280000,2.847418e-001,0.000000e+000,7.843660e-002,?
'unknown',0.290000,2.915876e-001,0.000000e+000,6.472627e-002,?
'unknown',0.300000,4.013829e-001,0.000000e+000,6.188262e-002,?
'unknown',0.310000,4.749889e-001,0.000000e+000,6.981137e-002,?
'unknown',0.320000,5.351465e-001,0.000000e+000,1.015290e-001,?
'unknown',0.330000,4.796956e-001,0.000000e+000,1.185804e-001,?
'unknown',0.340000,4.490967e-001,0.000000e+000,1.255982e-001,?
'unknown',0.350000,4.526191e-001,0.000000e+000,9.643579e-002,?
'unknown',0.360000,4.200073e-001,0.000000e+000,6.233981e-002,?
'unknown',0.370000,3.380972e-001,0.000000e+000,3.049203e-002,?
'unknown',0.380000,2.390518e-001,0.000000e+000,3.577662e-002,?
'unknown',0.390000,2.282667e-001,0.000000e+000,2.793676e-002,?
'unknown',0.400000,2.819536e-001,0.000000e+000,3.295755e-002,?
'unknown',0.410000,3.198227e-001,0.000000e+000,3.210711e-002,?
'unknown',0.420000,2.917489e-001,0.000000e+000,6.815016e-002,?
'unknown',0.430000,2.649188e-001,0.000000e+000,6.533588e-002,?
'unknown',0.440000,2.558447e-001,0.000000e+000,7.805306e-002,?
'unknown',0.450000,2.903866e-001,0.000000e+000,6.171660e-002,?
'unknown',0.460000,3.148261e-001,0.000000e+000,7.467862e-002,?
'unknown',0.470000,2.995527e-001,0.000000e+000,6.900977e-002,?
'unknown',0.480000,2.857305e-001,0.000000e+000,7.816988e-002,?
'unknown',0.490000,2.965493e-001,0.000000e+000,6.173126e-002,?
'unknown',0.500000,3.661804e-001,0.000000e+000,4.693631e-002,?
'unknown',0.510000,5.030800e-001,0.000000e+000,3.008488e-002,?
'unknown',0.520000,6.306779e-001,1.608284e+002,1.187697e-001,?
'unknown',0.530000,7.595463e-001,3.160096e+002,2.230809e-001,?
'unknown',0.540000,8.057418e-001,4.604377e+002,3.198929e-001,?
'unknown',0.550000,8.268134e-001,4.342989e+002,3.804249e-001,?
'unknown',0.560000,8.164720e-001,4.050051e+002,8.024768e-001,?
'unknown',0.570000,7.948747e-001,3.785876e+002,8.947719e-001,?
'unknown',0.580000,7.861595e-001,3.548880e+002,9.332092e-001,?
'unknown',0.590000,7.797100e-001,3.337275e+002,7.090090e-001,?
'unknown',0.600000,7.395988e-001,3.149049e+002,9.903422e-001,?
'unknown',0.610000,6.443544e-001,2.981924e+002,1.071490e+000,?
'unknown',0.620000,5.131751e-001,1.934656e+002,7.900653e-001,?
'unknown',0.630000,4.442246e-001,9.427767e+001,3.929024e-001,?
'unknown',0.640000,3.497333e-001,0.000000e+000,2.189883e-001,?
'unknown',0.650000,3.384593e-001,0.000000e+000,2.187134e-001,?
'unknown',0.660000,3.511421e-001,0.000000e+000,1.428656e-001,?
'unknown',0.670000,3.346906e-001,0.000000e+000,6.887168e-002,?
'unknown',0.680000,2.686639e-001,0.000000e+000,5.700496e-002,?
'unknown',0.690000,1.643527e-001,0.000000e+000,5.121566e-002,?
'unknown',0.700000,1.899877e-001,0.000000e+000,3.379868e-002,?
'unknown',0.710000,2.247090e-001,0.000000e+000,5.157014e-002,?
'unknown',0.720000,2.545771e-001,0.000000e+000,2.040578e-001,?
'unknown',0.730000,2.865853e-001,0.000000e+000,3.720839e-001,?
'unknown',0.740000,3.588457e-001,0.000000e+000,4.811035e-001,?
'unknown',0.750000,4.306991e-001,0.000000e+000,3.380049e-001,?
'unknown',0.760000,5.084842e-001,0.000000e+000,2.485821e-001,?
'unknown',0.770000,5.853952e-001,8.790048e+001,3.682272e-001,?
'unknown',0.780000,6.543234e-001,1.731685e+002,5.115684e-001,?
'unknown',0.790000,7.071339e-001,2.534350e+002,5.581064e-001,?
'unknown',0.800000,7.202604e-001,2.412035e+002,4.316812e-001,?
'unknown',0.810000,7.408962e-001,2.273785e+002,3.749157e-001,?
'unknown',0.820000,7.301430e-001,2.148477e+002,3.412959e-001,?
'unknown',0.830000,6.990854e-001,2.035852e+002,3.342787e-001,?
'unknown',0.840000,6.908874e-001,1.815064e+002,3.298021e-001,?
'unknown',0.850000,7.034526e-001,1.496683e+002,3.856757e-001,?
'unknown',0.860000,7.399948e-001,1.220832e+002,3.921405e-001,?
'unknown',0.870000,7.166054e-001,1.104597e+002,4.301105e-001,?
'unknown',0.880000,5.306964e-001,1.123516e+002,4.133494e-001,?
'unknown',0.890000,3.365718e-001,7.553021e+001,4.126106e-001,?
'unknown',0.900000,1.775865e-001,3.778946e+001,3.358785e-001,?
'unknown',0.910000,1.847771e-001,0.000000e+000,2.462141e-001,?
'unknown',0.920000,1.785726e-001,0.000000e+000,3.090801e-001,?
'unknown',0.930000,1.945165e-001,0.000000e+000,3.823797e-001,?
'unknown',0.940000,1.884899e-001,0.000000e+000,6.071896e-001,?
'unknown',0.950000,1.911605e-001,0.000000e+000,5.831167e-001,?
'unknown',0.960000,1.777871e-001,0.000000e+000,5.697374e-001,?
'unknown',0.970000,1.849615e-001,0.000000e+000,7.221432e-001,?
'unknown',0.980000,2.204884e-001,0.000000e+000,1.008134e+000,?
'unknown',0.990000,2.526004e-001,0.000000e+000,1.516174e+000,?
'unknown',1.000000,2.879964e-001,0.000000e+000,1.699883e+000,?
'unknown',1.010000,3.047526e-001,0.000000e+000,2.045739e+000,?
'unknown',1.020000,2.863500e-001,0.000000e+000,1.719038e+000,?
'unknown',1.030000,2.818576e-001,0.000000e+000,1.293399e+000,?
'unknown',1.040000,2.900952e-001,0.000000e+000,6.171286e-001,?
'unknown',1.050000,3.110397e-001,0.000000e+000,5.988693e-001,?
'unknown',1.060000,3.050249e-001,0.000000e+000,4.851181e-001,?
'unknown',1.070000,2.860662e-001,0.000000e+000,3.836187e-001,?
'unknown',1.080000,3.554436e-001,0.000000e+000,1.801929e-001,?
'unknown',1.090000,4.998445e-001,0.000000e+000,1.534165e-001,?
'unknown',1.100000,6.680043e-001,5.068966e+001,2.055293e-001,?
'unknown',1.110000,7.789474e-001,9.974416e+001,2.197611e-001,?
'unknown',1.120000,8.179426e-001,1.465670e+002,3.388162e-001,?
'unknown',1.130000,8.098352e-001,1.420314e+002,4.501259e-001,?
'unknown',1.140000,7.663673e-001,1.390583e+002,4.226799e-001,?
'unknown',1.150000,7.380908e-001,1.381734e+002,4.246711e-001,?
'unknown',1.160000,7.430866e-001,1.367916e+002,4.219543e-001,?
'unknown',1.170000,7.563593e-001,1.344601e+002,4.813759e-001,?
'unknown',1.180000,7.265489e-001,1.316400e+002,5.296883e-001,?
'unknown',1.190000,6.664631e-001,1.282475e+002,3.684227e-001,?
'unknown',1.200000,6.011133e-001,1.240277e+002,3.141746e-001,?
'unknown',1.210000,5.652464e-001,8.090989e+001,3.101311e-001,?
'unknown',1.220000,5.655548e-001,7.469759e+001,6.010930e-001,?
'unknown',1.230000,5.693659e-001,6.992410e+001,5.873941e-001,?
'unknown',1.240000,5.902038e-001,1.040716e+002,6.010720e-001,?
'unknown',1.250000,5.774857e-001,1.018570e+002,3.456127e-001,?
'unknown',1.260000,5.310922e-001,9.898770e+001,4.737369e-001,?
'unknown',1.270000,4.921612e-001,6.484021e+001,4.349027e-001,?
'unknown',1.280000,4.978996e-001,3.188735e+001,5.406848e-001,?
'unknown',1.290000,5.390765e-001,0.000000e+000,4.886622e-001,?
'unknown',1.300000,5.372252e-001,0.000000e+000,4.144495e-001,?
'unknown',1.310000,5.104098e-001,0.000000e+000,2.851512e-001,?
'unknown',1.320000,4.939767e-001,0.000000e+000,2.222009e-001,?
'unknown',1.330000,5.133492e-001,0.000000e+000,2.448452e-001,?
'unknown',1.340000,5.268047e-001,0.000000e+000,2.540792e-001,?
'unknown',1.350000,5.460392e-001,0.000000e+000,3.674369e-001,?
'unknown',1.360000,5.450643e-001,0.000000e+000,2.819644e-001,?
'unknown',1.370000,5.702202e-001,3.037190e+001,3.031726e-001,?
'unknown',1.380000,5.909888e-001,6.150145e+001,2.696905e-001,?
'unknown',1.390000,6.157450e-001,9.338865e+001,3.469309e-001,?
'unknown',1.400000,6.244522e-001,9.511420e+001,4.780432e-001,?
'unknown',1.410000,6.480210e-001,9.629234e+001,3.544474e-001,?
'unknown',1.420000,6.629791e-001,9.664214e+001,2.573285e-001,?
'unknown',1.430000,6.712163e-001,9.667588e+001,1.408736e-001,?
'unknown',1.440000,6.697858e-001,9.657007e+001,1.927992e-001,?
'unknown',1.450000,6.495844e-001,9.667634e+001,2.684135e-001,?
'unknown',1.460000,6.443885e-001,9.692401e+001,2.786959e-001,?
'unknown',1.470000,6.115968e-001,9.704370e+001,2.622173e-001,?
'unknown',1.480000,5.029633e-001,1.033406e+002,2.627575e-001,?
'unknown',1.490000,4.227571e-001,7.096178e+001,2.643971e-001,?
'unknown',1.500000,4.283806e-001,3.864021e+001,2.147477e-001,?
'unknown',1.510000,5.559315e-001,5.649278e+001,1.348805e-001,?
'unknown',1.520000,6.339293e-001,1.182378e+002,7.114881e-002,?
'unknown',1.530000,6.926311e-001,1.896221e+002,8.731542e-002,?
'unknown',1.540000,7.185782e-001,2.125363e+002,9.203184e-002,?
'unknown',1.550000,6.673620e-001,2.377587e+002,7.305101e-002,?
'unknown',1.560000,5.250216e-001,1.663744e+002,7.675493e-002,?
'unknown',1.570000,3.555526e-001,8.696745e+001,6.760816e-002,?
'unknown',1.580000,2.565115e-001,0.000000e+000,8.583837e-002,?
'unknown',1.590000,2.447141e-001,0.000000e+000,7.336312e-002,?
'unknown',1.600000,2.425240e-001,0.000000e+000,6.894256e-002,?
'unknown',1.610000,2.627045e-001,0.000000e+000,4.554705e-002,?
'unknown',1.620000,3.037225e-001,0.000000e+000,5.133897e-002,?
'unknown',1.630000,4.028939e-001,0.000000e+000,5.170565e-002,?
'unknown',1.640000,4.195105e-001,0.000000e+000,6.115035e-002,?
'unknown',1.650000,3.558030e-001,0.000000e+000,5.681989e-002,?
'unknown',1.660000,3.203658e-001,0.000000e+000,4.842968e-002,?
'unknown',1.670000,3.003990e-001,0.000000e+000,5.100026e-002,?
'unknown',1.680000,3.018106e-001,0.000000e+000,7.589898e-002,?
'unknown',1.690000,2.211344e-001,0.000000e+000,9.386930e-002,?
'unknown',1.700000,2.017182e-001,0.000000e+000,8.185402e-002,?
'unknown',1.710000,1.989744e-001,0.000000e+000,4.809857e-002,?
'unknown',1.720000,2.265629e-001,0.000000e+000,3.701768e-002,?
'unknown',1.730000,2.956854e-001,0.000000e+000,5.531911e-002,?
'unknown',1.740000,3.324609e-001,0.000000e+000,5.570313e-002,?
'unknown',1.750000,3.486276e-001,0.000000e+000,6.914636e-002,?
'unknown',1.760000,3.175549e-001,0.000000e+000,7.217301e-002,?
'unknown',1.770000,3.565998e-001,0.000000e+000,8.523222e-002,?
'unknown',1.780000,3.781988e-001,0.000000e+000,8.722880e-002,?
'unknown',1.790000,3.821720e-001,0.000000e+000,7.647950e-002,?
'unknown',1.800000,3.517815e-001,0.000000e+000,7.043156e-002,?
'unknown',1.810000,3.647874e-001,0.000000e+000,6.660941e-002,?
'unknown',1.820000,3.521633e-001,0.000000e+000,7.840496e-002,?
'unknown',1.830000,3.274116e-001,0.000000e+000,8.595855e-002,?
'unknown',1.840000,2.987502e-001,0.000000e+000,8.319763e-002,?
'unknown',1.850000,3.365972e-001,0.000000e+000,8.900990e-002,?
'unknown',1.860000,3.961513e-001,0.000000e+000,7.444504e-002,?
'unknown',1.870000,4.214345e-001,0.000000e+000,7.953911e-002,?
'unknown',1.880000,4.138723e-001,0.000000e+000,6.000939e-002,?
'unknown',1.890000,3.235925e-001,0.000000e+000,4.643858e-002,?
