@relation openSMILE_features

@attribute name string
@attribute frameTime numeric
@attribute F0final_sma numeric
@attribute voicingFinalUnclipped_sma numeric
@attribute pcm_loudness_sma numeric
@attribute class numeric

@data

'unknown',0.010000,0.000000e+000,0.000000e+000,5.310429e-002,?
'unknown',0.020000,0.000000e+000,0.000000e+000,4.672802e-002,?
'unknown',0.030000,0.000000e+000,0.000000e+000,6.621627e-002,?
'unknown',0.040000,0.000000e+000,0.000000e+000,5.723942e-002,?
'unknown',0.050000,0.000000e+000,0.000000e+000,7.624012e-002,?
'unknown',0.060000,0.000000e+000,0.000000e+000,8.293035e-002,?
'unknown',0.070000,0.000000e+000,0.000000e+000,1.225322e-001,?
'unknown',0.080000,0.000000e+000,0.000000e+000,1.287487e-001,?
'unknown',0.090000,0.000000e+000,0.000000e+000,9.839480e-002,?
'unknown',0.100000,0.000000e+000,0.000000e+000,6.099943e-002,?
'unknown',0.110000,0.000000e+000,0.000000e+000,4.957299e-002,?
'unknown',0.120000,0.000000e+000,0.000000e+000,4.538853e-002,?
'unknown',0.130000,0.000000e+000,2.322554e-001,4.045616e-002,?
'unknown',0.140000,0.000000e+000,4.732422e-001,2.801587e-002,?
'unknown',0.150000,0.000000e+000,4.732422e-001,3.456712e-002,?
'unknown',0.160000,0.000000e+000,2.409868e-001,4.000218e-002,?
'unknown',0.170000,0.000000e+000,0.000000e+000,5.159950e-002,?
'unknown',0.180000,0.000000e+000,0.000000e+000,6.529017e-002,?
'unknown',0.190000,0.000000e+000,0.000000e+000,1.052314e-001,?
'unknown',0.200000,0.000000e+000,0.000000e+000,1.022691e-001,?
'unknown',0.210000,0.000000e+000,0.000000e+000,1.117744e-001,?
'unknown',0.220000,0.000000e+000,0.000000e+000,7.414477e-002,?
'unknown',0.230000,0.000000e+000,0.000000e+000,7.904592e-002,?
'unknown',0.240000,0.000000e+000,0.000000e+000,7.052779e-002,?
'unknown',0.250000,0.000000e+000,0.000000e+000,9.217937e-002,?
'unknown',0.260000,0.000000e+000,0.000000e+000,9.915116e-002,?
'unknown',0.270000,0.000000e+000,0.000000e+000,8.797697e-002,?
'unknown',0.280000,0.000000e+000,2.470178e-001,8.706415e-002,?
'unknown',0.290000,0.000000e+000,2.470178e-001,7.843660e-002,?
'unknown',0.300000,0.000000e+000,2.470178e-001,6.472627e-002,?
'unknown',0.310000,0.000000e+000,0.000000e+000,6.188262e-002,?
'unknown',0.320000,0.000000e+000,0.000000e+000,6.981137e-002,?
